1,P,P,P
2,P,S,P
3,P,P,P
4,P,P,P
5,S,P,S
6,S,P,P
7,S,P,P
8,S,P,S
9,S,S,S
10,E,P,P
11,P,P,P
12,P,P,P
13,P,P,P
14,P,P,P
15,P,P,P
16,E,E,P
17,E,S,P
18,S,S,P
19,S,S,P
20,S,E,P
21,P,P,P
22,E,E,E
23,P,P,P
24,P,E,P
25,E,E,S
26,E,P,S
27,E,E,E
28,P,P,P
29,P,P,P
30,P,P,P
31,P,P,P
32,S,S,S
33,S,P,S
34,P,P,P
35,P,P,P
36,P,P,P
37,E,E,E
38,P,P,P
39,E,P,E
40,P,P,P
41,E,P,E
42,E,E,E
43,S,S,E
44,P,P,P
45,S,P,E
46,S,E,E
47,P,P,P
48,P,P,P
49,P,S,P
50,P,P,P
51,P,P,P
52,P,P,P
53,P,P,P
54,S,S,P
55,P,P,P
56,S,E,E
57,S,P,E
58,E,P,E
59,E,P,E
60,S,S,S
61,S,E,P
62,P,P,P
63,N,P,P
64,E,P,P
65,E,P,P
66,E,E,S
67,P,P,P
68,P,S,P
69,E,P,P
70,P,P,P
71,E,E,E
72,E,P,P
73,E,P,P
74,P,P,P
75,P,E,E
76,S,P,S
77,S,S,S
78,S,S,S
79,P,P,P
80,P,P,P
81,P,P,P
82,P,P,E
83,P,P,P
84,P,P,P
85,E,S,P
86,S,S,P
87,P,P,p
88,P,P,P
89,S,S,s
90,E,E,E
91,P,P,p
92,P,P,P
93,E,P,P
94,S,P,P
95,P,P,p
96,E,E,E
97,P,E,E
98,S,E,S
99,S,E,p
100,P,S,S
101,P,P,E
102,E,S,e
103,E,P,E
104,S,P,P
105,P,P,P
106,P,P,P
107,P,S,P
108,P,S,P
109,P,S,P
110,P,S,P
111,P,P,P
112,E,E,E
113,P,P,P
114,P,P,P
115,P,P,P
116,E,P,P
117,E,E,E
118,E,E,E
119,E,S,E
120,P,P,P
121,P,P,P
122,P,P,P
123,P,P,p
124,P,E,P
125,E,P,P
126,P,E,P
127,S,S,E
128,E,E,E
129,E,E,E
130,E,E,E
131,P,P,P
132,P,P,P
133,S,S,S
134,E,E,E
135,P,P,p
136,S,S,S
137,E,S,E
138,P,P,P
139,P,P,P
140,P,P,P
141,E,E,E
142,P,E,p
143,P,E,P
144,E,S,S
145,S,P,P
146,P,P,p
147,S,S,S
148,P,E,P
149,S,P,P
150,P,P,p
151,E,E,E
152,P,P,p
153,P,P,P
154,P,P,S
155,E,P,P
156,S,S,S
157,S,S,S
158,S,S,S
159,S,S,S
160,S,S,S
161,S,S,S
162,E,P,E
163,S,S,S
164,S,S,S
165,S,S,S
166,S,S,S
167,S,S,S
168,S,S,S
169,E,S,S
170,P,P,P
171,S,P,P
172,E,E,E
173,S,S,S
174,P,P,P
175,P,P,P
176,P,P,P
177,P,E,p
178,P,P,N
179,P,P,P
180,S,P,P
181,P,P,P
182,S,S,p
183,S,S,S
184,P,P,P
185,P,P,P
186,E,P,P
